,,,"Ontario [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Knowledge of languages","        Pampangan (Kapampangan; Pampango)",,    1935,,     855,,    1080,,    5425,,    2445,,    2980,
"Knowledge of languages","        Pangasinan",,     565,,     245,,     320,,    1800,,     790,,    1015,
"Knowledge of languages","        Tagalog (Pilipino; Filipino)",,  232935,,   91110,,  141820,,  612735,,  253210,,  359530,
"Knowledge of languages","        Waray-Waray",,     410,,     125,,     285,,    1395,,     530,,     860,
"Knowledge of languages","        Austronesian languages; n.i.e.",,    1785,,     755,,    1030,,    5585,,    2540,,    3040,
"Knowledge of languages","      Creole languages",,   30260,,   13525,,   16735,,  155615,,   70545,,   85070,
"Knowledge of languages","        Haitian Creole",,    1430,,     605,,     830,,    6850,,    3140,,    3710,
"Knowledge of languages","        Creole; n.o.s.",,   19375,,    8480,,   10895,,  133045,,   59890,,   73160,
"Knowledge of languages","        Creole languages; n.i.e.",,    9685,,    4525,,    5155,,   16635,,    7955,,    8675,
"Knowledge of languages","      Dravidian languages",,  196315,,   97975,,   98335,,  250180,,  126220,,  123960,
"Knowledge of languages","        Kannada",,    5775,,    2930,,    2845,,    8245,,    4180,,    4065,
"Knowledge of languages","        Malayalam",,   22880,,   11535,,   11345,,   37810,,   19410,,   18400,
"Knowledge of languages","        Tamil",,  157700,,   77975,,   79730,,  189860,,   94640,,   95220,
"Knowledge of languages","        Telugu",,   16315,,    8925,,    7390,,   23160,,   12770,,   10390,
"Knowledge of languages","        Dravidian languages; n.i.e.",,     495,,     250,,     240,,     790,,     385,,     405,
"Knowledge of languages","      Hmong-Mien languages",,     545,,     265,,     280,,     870,,     435,,     435,
"Knowledge of languages","      Indo-European languages",, 2608060,, 1265535,, 1342525,, 5158010,, 2506455,, 2651555,
"Knowledge of languages","        Albanian",,   22375,,   11180,,   11195,,   31930,,   16140,,   15790,
"Knowledge of languages","        Armenian",,   18435,,    8860,,    9575,,   41295,,   19980,,   21315,
"Knowledge of languages","        Balto-Slavic languages",,  473565,,  221450,,  252120,,  817315,,  384960,,  432350,
"Knowledge of languages","          Baltic languages",,   10545,,    4495,,    6050,,   14675,,    6470,,    8205,
"Knowledge of languages","            Latvian",,    4675,,    2070,,    2610,,    6500,,    2960,,    3540,
"Knowledge of languages","            Lithuanian",,    5875,,    2430,,    3445,,    8185,,    3510,,    4675,
"Knowledge of languages","          Slavic languages",,  465170,,  217885,,  247285,,  805915,,  379965,,  425945,
"Knowledge of languages","            Belarusan",,    1360,,     680,,     680,,    2265,,    1070,,    1195,
"Knowledge of languages","            Bosnian",,    9915,,    4905,,    5010,,   18265,,    9055,,    9215,
"Knowledge of languages","            Bulgarian",,   10410,,    5060,,    5350,,   22425,,   10920,,   11505,
"Knowledge of languages","            Croatian",,   46580,,   22880,,   23700,,   69840,,   34515,,   35325,
"Knowledge of languages","            Czech",,   14045,,    6615,,    7430,,   28720,,   13675,,   15050,
"Knowledge of languages","            Macedonian",,   21505,,   10365,,   11140,,   23075,,   11190,,   11880,
"Knowledge of languages","            Polish",,  142985,,   65415,,   77575,,  214965,,   99365,,  115600,
"Knowledge of languages","            Russian",,  138735,,   64355,,   74380,,  269645,,  127055,,  142595,
"Knowledge of languages","            Serbian",,   53250,,   26725,,   26525,,   73775,,   37040,,   36740,
"Knowledge of languages","            Serbo-Croatian",,    5815,,    2845,,    2965,,   11275,,    5525,,    5750,
"Knowledge of languages","            Slovak",,   12035,,    5550,,    6490,,   21470,,   10215,,   11255,
"Knowledge of languages","            Slovene (Slovenian)",,    7935,,    3550,,    4390,,   11495,,    5205,,    6290,
"Knowledge of languages","            Ukrainian",,   54615,,   24125,,   30490,,  132115,,   58820,,   73300,
"Knowledge of languages","            Slavic languages; n.i.e.",,    1750,,     935,,     815,,    3000,,    1590,,    1405,
"Knowledge of languages","        Celtic languages",,    3800,,    1880,,    1920,,    9165,,    4705,,    4455,
"Knowledge of languages","          Scottish Gaelic",,    1480,,     720,,     765,,    3980,,    2010,,    1975,
"Knowledge of languages","          Welsh",,     685,,     300,,     390,,    1690,,     830,,     860,
"Knowledge of languages","          Celtic languages; n.i.e.",,    1650,,     870,,     785,,    3590,,    1915,,    1680,
"Knowledge of languages","        Germanic languages",,  274305,,  130610,,  143700,,  695535,,  337215,,  358320,
"Knowledge of languages","          Afrikaans",,    7360,,    3625,,    3735,,   23410,,   11795,,   11610,
"Knowledge of languages","          Danish",,    5440,,    2455,,    2980,,   15745,,    7320,,    8425,
"Knowledge of languages","          Dutch",,   63410,,   29875,,   33535,,  120865,,   57885,,   62990,
"Knowledge of languages","          Frisian",,    1655,,     820,,     835,,    2910,,    1515,,    1395,
"Knowledge of languages","          German",,  189035,,   90730,,   98305,,  502730,,  245745,,  256985,
"Knowledge of languages","          Icelandic",,     285,,     130,,     155,,    1780,,     830,,     945,
"Knowledge of languages","          Norwegian",,    2140,,     975,,    1165,,    8120,,    3860,,    4260,
"Knowledge of languages","          Swedish",,    5125,,    2345,,    2785,,   14140,,    6510,,    7635,
"Knowledge of languages","          Vlaams (Flemish)",,    2275,,    1050,,    1225,,    4400,,    1945,,    2455,
"Knowledge of languages","          Yiddish",,    7175,,    3535,,    3640,,   20985,,   10435,,   10550,
"Knowledge of languages","          Germanic languages; n.i.e.",,    3290,,    1645,,    1645,,    8710,,    4425,,    4285,
"Knowledge of languages","        Greek",,   80690,,   40105,,   40590,,  150965,,   75510,,   75455,
"Knowledge of languages","        Indo-Iranian languages",,  915765,,  463175,,  452585,, 1658220,,  840850,,  817365,
"Knowledge of languages","          Indo-Aryan languages",,  759390,,  384940,,  374450,, 1387805,,  704370,,  683435,
"Knowledge of languages","            Bengali",,   59685,,   30420,,   29265,,   91220,,   46935,,   44285,
"Knowledge of languages","            Gujarati",,  103890,,   52380,,   51510,,  149045,,   74765,,   74285,
"Knowledge of languages","            Hindi",,  250095,,  127765,,  122335,,  433365,,  221665,,  211700,
"Knowledge of languages","            Kashmiri",,     600,,     300,,     300,,     905,,     490,,     420,
"Knowledge of languages","            Konkani",,    5490,,    2515,,    2975,,    6790,,    3185,,    3605,
"Knowledge of languages","            Marathi",,   10360,,    5380,,    4980,,   15570,,    8200,,    7365,
"Knowledge of languages","            Nepali",,   10245,,    5115,,    5135,,   21380,,   10915,,   10470,
"Knowledge of languages","            Oriya (Odia)",,    1090,,     515,,     570,,    1535,,     755,,     775,
"Knowledge of languages","            Punjabi (Panjabi)",,  282065,,  145050,,  137015,,  668240,,  341450,,  326790,
"Knowledge of languages","            Sindhi",,   11515,,    5385,,    6130,,   20260,,    9310,,   10945,
"Knowledge of languages","            Sinhala (Sinhalese)",,   18555,,    9230,,    9330,,   27825,,   13970,,   13855,
"Knowledge of languages","            Urdu",,  231500,,  117305,,  114190,,  322220,,  164685,,  157535,
"Knowledge of languages","          Iranian languages",,  163490,,   81710,,   81785,,  281715,,  142030,,  139680,
"Knowledge of languages","            Kurdish",,    8795,,    4755,,    4040,,   15290,,    8290,,    7000,
"Knowledge of languages","            Pashto",,   15315,,    8145,,    7170,,   23180,,   12465,,   10715,
"Knowledge of languages","            Persian (Farsi)",,  145465,,   72275,,   73190,,  252320,,  126565,,  125755,
"Knowledge of languages","          Indo-Iranian languages; n.i.e.",,    4665,,    2495,,    2175,,    8875,,    4715,,    4155,
"Knowledge of languages","        Italic (Romance) languages",,  880330,,  418225,,  462105,, 1897630,,  898530,,  999100,
"Knowledge of languages","          Catalan",,     515,,     275,,     240,,    2035,,    1145,,     890,
"Knowledge of languages","          Italian",,  333645,,  161190,,  172455,,  574725,,  278500,,  296225,
"Knowledge of languages","          Portuguese",,  193520,,   93885,,   99635,,  295955,,  144465,,  151485,
"Knowledge of languages","          Romanian",,   49635,,   23205,,   26430,,  115050,,   55275,,   59770,
"Knowledge of languages","          Spanish",,  337615,,  156040,,  181580,,  995255,,  460250,,  535010,
"Knowledge of languages","          Italic (Romance) languages; n.i.e.",,    1355,,     745,,     605,,    2680,,    1610,,    1075,
"Knowledge of languages","      Japanese",,   25675,,   11535,,   14140,,   83090,,   36760,,   46335,
"Knowledge of languages","      Kartvelian languages",,    1555,,     775,,     780,,    2150,,    1075,,    1075,
"Knowledge of languages","        Georgian",,    1555,,     770,,     785,,    2150,,    1080,,    1070,
"Knowledge of languages","      Korean",,   79175,,   36930,,   42245,,  172755,,   80170,,   92590,
"Knowledge of languages","      Mongolic languages",,     515,,     225,,     285,,    2090,,     960,,    1130,
"Knowledge of languages","        Mongolian",,     515,,     225,,     285,,    2090,,     960,,    1130,
"Knowledge of languages","      Niger-Congo languages",,   70570,,   33620,,   36945,,  177215,,   88135,,   89080,
"Knowledge of languages","        Akan (Twi)",,   15950,,    7520,,    8435,,   22145,,   10810,,   11340,
"Knowledge of languages","        Bamanankan",,     385,,     195,,     185,,    3190,,    1660,,    1530,
"Knowledge of languages","        Edo",,    2130,,     930,,    1195,,    3220,,    1510,,    1705,
"Knowledge of languages","        Ewe",,     880,,     435,,     445,,    3000,,    1685,,    1315,
"Knowledge of languages","        Fulah (Pular; Pulaar; Fulfulde)",,     700,,     320,,     375,,    4725,,    2460,,    2260,
"Knowledge of languages","        Ga",,    1340,,     645,,     695,,    2250,,    1140,,    1110,
"Knowledge of languages","        Ganda",,    1225,,     550,,     675,,    2495,,    1175,,    1320,
"Knowledge of languages","        Igbo",,    4025,,    2105,,    1920,,    8850,,    4710,,    4140,
"Knowledge of languages","        Lingala",,    4885,,    2165,,    2720,,   17010,,    7865,,    9145,
"Knowledge of languages","        Rundi (Kirundi)",,    2555,,    1080,,    1475,,    8590,,    4075,,    4515,
"Knowledge of languages","        Kinyarwanda (Rwanda)",,    2220,,     885,,    1330,,    7860,,    3600,,    4260,
"Knowledge of languages","        Shona",,    2350,,    1055,,    1300,,    5425,,    2530,,    2905,
"Knowledge of languages","        Swahili",,   16750,,    8110,,    8640,,   38680,,   19565,,   19115,
"Knowledge of languages","        Wolof",,     730,,     355,,     375,,    8240,,    4455,,    3785,
"Knowledge of languages","        Yoruba",,   10495,,    5345,,    5150,,   22420,,   11475,,   10940,
"Knowledge of languages","        Niger-Congo languages; n.i.e.",,   11210,,    5255,,    5950,,   40760,,   20375,,   20385,
"Knowledge of languages","      Nilo-Saharan languages",,    2025,,    1020,,    1010,,    7015,,    3520,,    3495,
"Knowledge of languages","        Dinka",,     415,,     220,,     200,,    2475,,    1280,,    1190,
"Knowledge of languages","        Nilo-Saharan languages; n.i.e.",,    1615,,     805,,     810,,    4555,,    2240,,    2315,
"Knowledge of languages","      Sign languages",,   18865,,    7645,,   11220,,   48115,,   18985,,   29130,
